species_code,species_name,species_type
10110,arrowtooth flounder,flatfish
10112,Kamchatka flounder,flatfish
10115,Greenland turbot,flatfish
10130,flathead sole,flatfish
10180,Dover sole,flatfish
10200,rex sole,flatfish
10210,yellowfin sole,flatfish
10261,northern rock sole,flatfish
10262,southern rock sole,flatfish
10285,Alaska plaice,flatfish
21720,Pacific cod,gadid
21740,walleye pollock,gadid
21921,Atka mackerel,other
30060,Pacific ocean perch,rockfish
30420,northern rockfish,rockfish
3005012,REBS rockfish complex,rockfish
301502,Dusky rockfish,rockfish
