survey,strtum,area
EBS_SLOPE,1,12278.47
EBS_SLOPE,2,3542.39
EBS_SLOPE,3,4108.03
EBS_SLOPE,4,4030.59
EBS_SLOPE,5,2403.40
EBS_SLOPE,6,6360.63
EBS_SLOPE,11,4012.41
EBS_SLOPE,12,4062.77
EBS_SLOPE,13,1741.66
EBS_SLOPE,14,1354.74
EBS_SLOPE,15,1106.89
EBS_SLOPE,21,1157.64
EBS_SLOPE,22,705.08
EBS_SLOPE,23,591.27
EBS_SLOPE,24,552.73
EBS_SLOPE,25,535.67
EBS_SLOPE,31,903.78
EBS_SLOPE,32,886.11
EBS_SLOPE,33,910.26
EBS_SLOPE,34,732.35
EBS_SLOPE,35,675.52
EBS_SLOPE,41,1236.27
EBS_SLOPE,42,730.35
EBS_SLOPE,43,693.95
EBS_SLOPE,44,707.59
EBS_SLOPE,45,662.42
EBS_SLOPE,51,423.71
EBS_SLOPE,52,425.73
EBS_SLOPE,53,431.83
EBS_SLOPE,54,551.99
EBS_SLOPE,55,570.14
EBS_SLOPE,61,2595.79
EBS_SLOPE,62,1705.76
EBS_SLOPE,63,917.49
EBS_SLOPE,64,645.17
EBS_SLOPE,65,496.42
EBS_SLOPE,999999,32723.49
