,,,AI,AI,AI,GOA,GOA,GOA
Stock,Scientific name,Type,Female,Male,Total,Female,Male,Total
arrowtooth flounder,Atheresthes stomias,nominal,285,239,524,560,359,920
,,iss, 109 , 56 , 132 , 230 , 151 , 337 
Atka mackerel,Pleurogrammus monopterygius,nominal,322,288,609, -- , -- , -- 
,,iss, 50 , 46 , 70 , -- , -- , -- 
Dover sole,Microstomus pacificus,nominal, -- , -- , -- ,207,187,394
,,iss, -- , -- , -- , 85 , 71 , 145 
Dusky rockfish,Sebastes ciliatus,nominal, -- , -- , -- ,228,199,428
,,iss, -- , -- , -- , 58 , 48 , 90 
flathead sole,Hippoglossoides elassodon,nominal, -- , -- , -- ,293,244,542
,,iss, -- , -- , -- , 111 , 86 , 180 
Kamchatka flounder,Atheresthes evermanni,nominal,257,250,509, -- , -- , -- 
,,iss, 74 , 60 , 95 , -- , -- , -- 
northern rockfish,Sebastes polyspinis,nominal,295,239,536,237,208,445
,,iss, 74 , 57 , 119 , 67 , 60 , 116 
Pacific cod,Gadus macrocephalus,nominal,394,394,788,324,295,619
,,iss, 80 , 81 , 113 , 78 , 70 , 96 
Pacific ocean perch,Sebastes alutus,nominal,548,545,"1,103",547,550,"1,103"
,,iss, 122 , 117 , 204 , 132 , 133 , 205 
REBS rockfish complex,Sebastes aleutianus,nominal,226,229,456,276,283,561
,Sebastes melanostictus,iss, 63 , 62 , 120 , 86 , 85 , 152 
sablefish,Anoplopoma fimbria,nominal, -- , -- , -- ,274,270,544
,,iss, -- , -- , -- , 52 , 55 , 77 
walleye pollock,Gadus chalcogrammus,nominal,848,698,"1,549",710,604,"1,327"
,,iss, 71 , 56 , 84 , 110 , 88 , 99 
