Region,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice,"1,040",980,"1,617", -- , -- , -- 
arrowtooth flounder,"1,421",657,"1,797","3,643","1,861","4,577"
Atka mackerel, -- , -- , -- , -- , -- , -- 
Dover sole, -- , -- , -- ,607,631,"1,105"
Dusky rockfish, -- , -- , -- ,145,117,193
flathead sole,"1,224","1,062","1,760","1,481","1,155","2,231"
Greenland turbot,116,113,240, -- , -- , -- 
Kamchatka flounder,260,252,458, -- , -- , -- 
northern rock sole,"1,386","1,345","1,975", -- , -- , -- 
northern rockfish, -- , -- , -- ,127,145,216
Pacific cod,"1,110","1,130","1,653",582,560,780
Pacific ocean perch, -- , -- , -- ,320,322,416
REBS rockfish complex, -- , -- , -- ,145,118,194
sablefish, -- , -- , -- ,469,618,858
walleye pollock,"1,369","1,296","1,590",468,363,431
yellowfin sole,"1,848","1,233","2,137", -- , -- , -- 
