Region,AI,AI,AI,GOA,GOA,GOA
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice, -- , -- , -- , -- , -- , -- 
arrowtooth flounder,"6,306","3,921","10,607","35,553","17,117","54,108"
Atka mackerel,"4,561","4,292","9,110", -- , -- , -- 
Dover sole, -- , -- , -- ,"2,523","3,209","6,084"
Dusky rockfish, -- , -- , -- ,"1,039",923,"1,997"
flathead sole, -- , -- , -- ,"10,753","9,799","21,318"
Greenland turbot, -- , -- , -- , -- , -- , -- 
Kamchatka flounder,"1,119","1,597","2,718", -- , -- , -- 
northern rock sole, -- , -- , -- ,"4,098","2,727","6,835"
northern rockfish,"5,607","3,553","9,290","1,971","1,827","3,913"
Pacific cod,"3,269","3,516","7,080","5,314","5,208","10,918"
Pacific ocean perch,"9,841","13,175","23,538","9,003","10,181","20,456"
REBS rockfish complex,890,939,"2,061","1,630","1,656","3,378"
rex sole, -- , -- , -- ,"7,162","7,293","15,072"
sablefish, -- , -- , -- ,"2,829","3,735","6,908"
southern rock sole, -- , -- , -- ,"6,462","2,741","9,217"
walleye pollock,"7,778","6,257","14,529","13,701","11,402","28,242"
yellowfin sole, -- , -- , -- , -- , -- , -- 
