,,,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Stock,Scientific name,Type,Female,Male,Total,Female,Male,Total
Alaska plaice,Pleuronectes quadrituberculatus,nominal,"5,209","5,135","10,800", -- , -- , -- 
,,iss," 1,122 "," 1,079 "," 1,685 ", -- , -- , -- 
arrowtooth flounder,Atheresthes stomias,nominal,"6,715","2,806","9,779","4,623","1,138","5,761"
,,iss," 1,989 ", 999 ," 2,565 ", HMMM , HMMM , HMMM 
flathead sole,Hippoglossoides elassodon,nominal,"8,145","7,994","17,193", -- , -- , -- 
,,iss," 1,538 "," 1,298 "," 2,302 ", -- , -- , -- 
Greenland turbot,Reinhardtius hippoglossoides,nominal,301,316,720,578,"1,017","1,595"
,,iss, 78 , 35 , 115 , 172 , 232 , 335 
Kamchatka flounder,Atheresthes evermanni,nominal,875,882,"1,776","1,345","1,915","3,260"
,,iss, 383 , 355 , 679 , 382 , 403 , 698 
northern rock sole,Lepidopsetta polyxystra,nominal,"14,060","14,285","29,137", -- , -- , -- 
,,iss," 1,272 "," 1,153 "," 1,933 ", -- , -- , -- 
Pacific cod,Gadus macrocephalus,nominal,"6,032","6,210","13,320", -- , -- , -- 
,,iss," 1,693 "," 1,631 "," 2,655 ", -- , -- , -- 
Pacific ocean perch,Sebastes alutus,nominal, -- , -- , -- ,"1,378","1,759","3,191"
,,iss, -- , -- , -- , 74 , 81 , 137 
walleye pollock,Gadus chalcogrammus,nominal,"28,713","29,373","82,451", -- , -- , -- 
,,iss," 2,138 "," 2,015 "," 2,448 ", -- , -- , -- 
yellowfin sole,Limanda aspera,nominal,"17,326","10,952","29,803", -- , -- , -- 
,,iss," 1,653 "," 1,012 "," 1,166 ", -- , -- , -- 
