Stock,Scientific name,Survey evaluated
Alaska plaice,Pleuronectes quadrituberculatus,EBS shelf
arrowtooth flounder,Atheresthes stomias,"AI, EBS shelf, EBS slope, GOA"
Atka mackerel,Pleurogrammus monopterygius,AI
Dover sole,Microstomus pacificus,GOA
Dusky rockfish,Sebastes ciliatus,GOA
flathead sole,Hippoglossoides elassodon,"EBS shelf, GOA"
Greenland turbot,Reinhardtius hippoglossoides,"EBS shelf, EBS slope"
Kamchatka flounder,Atheresthes evermanni,"AI, EBS shelf, EBS slope"
northern rock sole,Lepidopsetta polyxystra,"EBS shelf, GOA"
northern rockfish,Sebastes polyspinis,"AI, GOA"
Pacific cod,Gadus macrocephalus,"AI, EBS shelf, GOA"
Pacific ocean perch,Sebastes alutus,"AI, EBS slope, GOA"
REBS rockfish complex,Sebastes aleutianus,"AI, GOA"
rex sole,Glyptocephalus,GOA
sablefish,Anoplopoma fimbria,GOA
southern rock sole,Lepidopsetta billineta,GOA
walleye pollock,Gadus chalcogrammus,"AI, EBS shelf, GOA"
yellowfin sole,Limanda aspera,EBS shelf
